Q1,Q2,Q3,Q4_CoD,Q4_CoS,Q4_IA,Q4_CoC,Q4_CoE,Q5,Q6,Q6_6_TEXT,Q7,Q7_8_TEXT,Q8,Q8_5_TEXT,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Sciences,,School of Mathematics,,,,PhD,Instructor,,"Grading exams,Office hours,Responding to questions on Piazza/Canvas,Teaching classes",,Full waiver,,10,,10-15,"As a graduate instructor, the time taken for preparation is much more than as a TA.",Yes,Monthly,2416.67,,We are advised not to work more than 13 hours a week. The compensation is same for GTA and GSI (Graduate Student Instructor).,,
Yes,Atlanta,College of Sciences,,School of Psychology,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,10-15,,Yes,Monthly,2416,,,5,
Yes,Atlanta,College of Engineering,,,,,School of Industrial & Systems Engg,Master's,Other (Please specify),Master's Teaching Assistant,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Did not get a waiver,,1,,10-15,,Yes,Hourly,,15,ISyE does not provide GTAs with tuition waiver to masters students which seems unfair when compared to other schools such as CoC that employees several TAs for a course with similar responsibilities and a tuition waiver.,7,Teaching and communicating
Yes,Atlanta,College of Computing,,,,School of Computational Science & Engg,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams",,Did not get a waiver,,2,,5-10,,No,,,,,2,
Yes,Atlanta,College of Computing,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Materials Sci & Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Teaching classes",,Did not get a waiver,,5,,5-10,,No,,,,,3,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,0,,10-15,,Yes,Monthly,1050,,,8,"Patience, better articulation"
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Teaching classes",,Full waiver,,2,,5-10,,Yes,Monthly,,,,2,
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Sciences,,School of Psychology,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Other (Please specify)",creating assignments,Full waiver,,N/A,We have to be a GTA if our lab does not have funding enough to pay for a GRA. My lab will never be able to fund a GRA so I will have to a GTA as long as possible to get funding. ,15-20,,Yes,Monthly,2416,,,1,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Full waiver,,3,,10-15,hired for 2,No,,,,pay extra,5,
Yes,Atlanta,Ivan Allen College,,,School of History and Sociology,,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,4,,10-15,,Yes,Monthly,2000,,I'd like more,4,
Yes,Atlanta,College of Engineering,,,,,School of Materials Sci & Engg,PhD,Lab Teaching Assistant,,"Grading assignments,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Did not get a waiver,,5,,10-15,,No,,,,,1,
Yes,Atlanta,College of Engineering,,,,,School of Industrial & Systems Engg,Master's,Hourly grader,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Did not get a waiver,,N/A,,15-20,,Yes,Hourly,,15,No tuition waiver for Master's students,4,
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Industrial & Systems Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Full waiver,,1,,5-10,,Yes,Monthly,,,,7,Teaching skills
Yes,Atlanta,College of Engineering,,,,,School of Aerospace Engg,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,N/A,Two max semesters before being downgraded in pay rate.,5-10,,Yes,Monthly,2100,,More frequent pay periods ,4,
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,10-15,No,Yes,Monthly,1050,,Any help to increase the compensation could highly contribute towards better living opportunities for the students.,9,Learning about different viewpoint for a particular problem each student has to offer.
Yes,Atlanta,College of Engineering,,,,,School of Industrial & Systems Engg,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Did not get a waiver,,1,,5-10,no,Yes,Hourly,,15,15 dollars/hour seems to be under the market right now plus inflation is high this year,7,Connection with other students
Yes,Atlanta,College of Sciences,,School of Biological Sciences,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Responding to questions on Piazza/Canvas,Other (Please specify)",Hosting virtual sessions for students in isolation. ,Full waiver,,Don't know,,5-10,"Not my most recent TA-ship but past ones, yes. Issues with assisting non-faculty instructors. Grading too many assignments (no single TA should have to grade for 250 students), etc.",Yes,Monthly,2000,,Should cover fees as well as tuition,,
Yes,Atlanta,College of Engineering,,,,,School of Materials Sci & Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Teaching classes,Conducting lab sessions",,Did not get a waiver,,5,,5-10,"We are not hired to work a set number of hours, just required to work 5 consecutive semesters to earn our degree",No,,,,,7,Managing expectations of students with the realities of teaching a 60 person interactive lab course
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,N/A,,15-20,"No, I almost get to work ~ 20 hours as described in the offer letter.",Yes,Monthly,1050,,I have observed that the pay is relatively less especially for a university in the middle of a city with high cost of living. It would be helpful if the monthly/ hourly pay for TAs is matched with the current market trends.,10,"Deeper understanding of the course material, problem solving, time management and public speaking"
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,PhD,Head Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Teaching classes,Conducting lab sessions",,Full waiver,,2,,>20,"Being a Head TA is easily 30+ hours each week. Even if we're hired as a TA for 20, we almost always need to work more than that. Additionally, our advisors expect us to spend as little time TAing as possible so that we can do research. So TA semesters are basically an exercise in failing everything as gracefully as possible (can't dedicate enough time to research or TAing or classes).",Yes,Monthly,2440,,"TA compensation is not reflective of the hours that we work, but then again nor is our RA stipend (in both cases, the school pretends that we only work 20 hours/week despite demanding >40 or else we are put in bad standing and kicked out).",0,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Other (Please specify)",Review sessions,Full waiver,,Don't know,,10-15,Im expected 20 hours a week but i typically work less than that because there is not enough to do most weeks,Yes,Monthly,1900,,"The compensation should be higher, cost of living in atlanta is not cheep. The more TAs are paid the less they have to stress about finances and the more they can focus on other things, like teaching.",9,Improving my teaching and communication skills
Yes,Atlanta,College of Computing,,,,School of Cybersecurity,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,Don't know,,10-15,No,Yes,Monthly,1050,,The pay is less ,10,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,4,,>20,,Yes,Monthly,950,,,8,
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Did not get a waiver,,2,,10-15,Department set maximum is 10 hrs/week.,No,,,,GT is exploiting graduate students for free labor. The idea that this is part of our “professional development” is laughable. All we do is the mundane work that professors/instructors don’t want to do. ,4,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Head Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,5-10,No,Yes,Monthly,1050,,,6,
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,PhD,Head Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Full waiver,,2,,>20,"Maybe. The load fluctuates every week, e.g., it is high during finals week but low during the thanksgiving break. Plus, it also depends on several external factors like the instructional team dynamics and of course, the pandemic. So what I am maybe trying to suggest is overtime pay, i.e., if you happen to work more than what you're paid for, you rightfully be allowed to apply to get paid for it instead of everybody sharing the pie.",Yes,Monthly,2750,,"Frankly, I don't know the policies as such.",10,"People and Time Management, Teaching, Grading, Conflict Resolution"
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,Don't know,,10-15,"No, because there were some busier weeks than others (such as after exams), and over the course of the semester it evened out to match the amount of time I was hired for.",Yes,Monthly,2087,,"As TA, my gross income for a year is $25044, out of which I pay about $3000 in fees to Georgia Tech. After taxes, I'm earning less than $20000/year, which is not enough to live by myself or sustain myself without debt in Atlanta. Please waive the institute fees for TAs, and increase TA compensation across schools to match the cost of living in Midtown Atlanta. We are students in our mid to late twenties, living with roommates should not be a necessity.",10,Coming up with ways to distill complicated concepts for students and explain them in a way that's more straightforward.
Yes,Online,College of Computing,,,,School of Computer Science,,Master's,Hourly grader,,"Grading assignments,Responding to questions on Piazza/Canvas,Other (Please specify)",helping create test questions,Did not get a waiver,,0,,5-10,,Yes,Hourly,,15,The clock in/clock out method for tracking was burdensome and often prone to error,2,
Yes,Atlanta,College of Engineering,,,,,School of Civil & Environmental Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours",,Did not get a waiver,,0,,5-10,,Yes,Monthly,,,It is $30 per each student for the entire semester,8,Teaching skills in office hours
Yes,Atlanta,College of Computing,,,,School of Cybersecurity,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,5-10,No,Yes,Monthly,1050,,,5,
Yes,Atlanta,College of Engineering,,,,,School of Mechanical Engg,PhD,Other (Please specify),Teaching Practicum / CTL Capstone.,"Office hours,Responding to questions on Piazza/Canvas,Teaching classes",,Did not get a waiver,,1,,<5,Was not paid for work. ,No,,,,Teaching practicum / CTL Capstone TAs should be paid $1000/mo.,8,Time & Effort Management through planning efficient strategies to save students & teachers time
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Sciences,,School of Chemistry and Biochemistry,,,,PhD,Lab Teaching Assistant,,"Grading assignments,Conducting lab sessions",,Full waiver,,2,,15-20,,Yes,Monthly,2053,,"Fees are not waived, so it comes to around 1500 after paying for Fees (fees are charged in 3 months)",7,Communication
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,4,,10-15,Not really,Yes,Monthly,1050,,,7,
Yes,Atlanta,College of Sciences,,School of Chemistry and Biochemistry,,,,PhD,Lab Teaching Assistant,,"Grading assignments,Responding to questions on Piazza/Canvas,Teaching classes,Conducting lab sessions",,Full waiver,,Don't know,,10-15,,Yes,Monthly,1500,,,7,"Leadership, teaching skills, better understanding of the material, lab management, time management "
Yes,Atlanta,Ivan Allen College,,,School of Public Policy,,,PhD,Head Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,N/A,it depends on what your professor wants you to do,15-20,,Yes,Monthly,2160,,,8,better english communication. Preparation of lectures
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions,Other (Please specify)",Proctoring Exams ,Full waiver,,3,,15-20,,Yes,Monthly,2087,,,,
Yes,Atlanta,College of Sciences,,School of Biological Sciences,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,1,,10-15,,Yes,Monthly,2000,,"Compensation above is an estimate, after tax withholding. Obviously, withholding amount will vary by student. ",8,"Lesson planning, time-management during class (when teaching), experience with different grading policies and methods"
Yes,Atlanta,College of Engineering,,,,,School of Aerospace Engg,PhD,Lab Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,0,,15-20,Needed slightly less than 20h (I'm paid for) to fulfill duties,Yes,Monthly,2166.67,,,4,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Other (Please specify),I get a waiver for being a GRA.,3,,<5,,No,,,,,,
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,N/A,,10-15,I work much more than 10-15 hours. There's not enough time to handle student questions effectively.,Yes,Monthly,1050,,Very low compared to other universities. ,3,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Holding recitations,Teaching classes",,Did not get a waiver,,3,,10-15,,No,,,,they suck,,
Yes,Atlanta,College of Sciences,,School of Chemistry and Biochemistry,,,,PhD,Lab Teaching Assistant,,"Grading assignments,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,0,,10-15,,Yes,Monthly,2200,,,9,I have learned how to communicate more effectively and how to better teach Chemistry in an engaging and inspiring way. 
Yes,Atlanta,College of Engineering,,,,,School of Aerospace Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Teaching classes,Conducting lab sessions",,Full waiver,,Don't know,,15-20,There were some weeks where the workload exceeded 20 hours per week. This became difficult to manage considering that there was lesser time dedicated to coursework and research.,Yes,Monthly,2400,,"The TA compensation per month has been $2166.66 for the past 8 years or so. It was increased to $2400.00 just from Fall 2021. However, these numbers are applicable only for GTA-I position. There are other positions such as GTA-II which includes the same number of working hors but lower pay, which does not seem fair. Additionally, Head TAs of courses are required to put in more hours and effort but the compensation does not reflect proportionally.th",8,"Logistics associated with grading, work distribution across team of TAs, teaching, professional communication"
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,10-15,,Yes,Monthly,1050,,,4,
Yes,Atlanta,Ivan Allen College,,,School of Public Policy,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Other (Please specify)",Canvas site management,Half waiver,,0,,5-10,,Yes,Monthly,1195.5,,,7,handling meetings with students regarding class material an being able to explain to them the material.
Yes,Atlanta,College of Sciences,,School of Earth and Atmospheric Sciences,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,2,,15-20,"Some weeks I had to work more than hours expected, especially during exam grading periods when we had to spend >5 hours grading in addition to the 20 hours of usual TA work",Yes,Monthly,2000,,,10,"public speaking, classroom management, working with students"
Yes,Atlanta,College of Sciences,,School of Biology,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Conducting lab sessions",,Full waiver,,3,,5-10,,Yes,Monthly,2100,,,6,
Yes,Atlanta,College of Engineering,,,,,School of Aerospace Engg,Master's,Graduate Teaching Assistant,,Other (Please specify),Logistics,Full waiver,,Don't know,,15-20,,Yes,Monthly,1800,,,10,"Teaching, public speaking, organizational skills, working on teams, gaining confidence in field"
Yes,Atlanta,College of Engineering,,,,,School of Mechanical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Teaching classes,Conducting lab sessions",,Full waiver,,1,,15-20,"I was supposed to work for 13 hrs a week doing grading and labs and office hours, but the students always needed extra help and as the semester went on and final projects came due, it added 5-8 hours a week.",Yes,Monthly,2450,,,10,"The course content of the course I led labs for. My students have gone on to say that that course single-handedly landed them jobs and made them stand out in their internships; I had not taken the course before I tutored them through it and now, having taught and debugged it, my skills in that area are substantial."
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,10-15,No,Yes,Monthly,1050,,The TAs are heavily underpaid for their efforts.,5,
Yes,Atlanta,College of Engineering,,,,,School of Aerospace Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,Don't know,,15-20,"Not this semester, but yes for last semester (Fall 2021)",Yes,Monthly,2166.67,,Tuition waiver should cover some (if not all) mandatory fees.,9,Sharpen my time-management near deadlines. That is having to grade a whole class's last assignment and exams during finals week.
Yes,Atlanta,College of Design,School of Architecture,,,,,Master's,Other (Please specify),Graduate Assistant,"Grading assignments,Responding to questions on Piazza/Canvas,Other (Please specify)",Keeping up with the class files and updates,Did not get a waiver,,N/A,,10-15,,Yes,Hourly,,18,,9,
Yes,Online,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Responding to questions on Piazza/Canvas",,Full waiver,,1,,5-10,,Yes,Monthly,1050,,,,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,>20,Because of unexpected extra works such as questions asked by students or harder and more assignments it takes a lot more than what I was told.,Yes,Monthly,900,,,2,
No,,,,,,,,,,,,,,,,,,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,Ivan Allen College,,,School of Economics,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours",,Full waiver,,Don't know,,,,,,,,,,
Yes,Atlanta,College of Sciences,,School of Mathematics,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Full waiver,,N/A,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,4,,,,,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Materials Sci & Engg,PhD,Hourly grader,,"Grading assignments,Grading exams",,Did not get a waiver,,5,,,,,,,,,,
Yes,Atlanta,College of Sciences,,School of Biological Sciences,,,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,1,,,,,,,,,,
Yes,Atlanta,College of Sciences,,School of Chemistry and Biochemistry,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Conducting lab sessions",,Full waiver,,Don't know,,>20,"Yes, I was told it would be 15-20 hours but I ended up spending more time than that on TA related duties",Yes,Monthly,,,,,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,N/A,,,,,,,,,,
Yes,Atlanta,Scheller College of Business,,,,,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Half waiver,,4,,,,,,,,,,
Yes,Atlanta,College of Sciences,,School of Mathematics,,,,PhD,Instructor,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Teaching classes",,Full waiver,,Don't know,,10-15,"Yes, being the instructor requires x1.5-2 time compared to being a TA holding studios/recitations however it has the same pay",Yes,Monthly,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,10-15,Yes,Yes,,,,,,
Yes,Atlanta,College of Design,School of City Planning,,,,,Master's,Graduate Teaching Assistant,,Grading assignments,,Full waiver,,0,,10-15,Depended on the week's workload,Yes,Monthly,,,,,
Yes,Online,College of Engineering,,,,,School of Industrial & Systems Engg,Master's,Graduate Teaching Assistant,,"Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Half waiver,,1,,15-20,,Yes,Monthly,,,,,
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Other (Please specify)",Preparing exam/assignment problems,Full waiver,,0,,15-20,,Yes,Hourly,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Sciences,,School of Biology,,,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,5-10,,Yes,Monthly,1350,,,6,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Teaching classes",,Full waiver,,N/A,Students are assigned as TAs based on respective funding situations.,15-20,"Yes, I was hired as a 1/6th time TA but ended up working way more than the required hours.",Yes,Monthly,660,,,4,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,N/A,,15-20,,Yes,Monthly,1980,,,8,"Interacting with a large group of people, ability to convey ideas in a concise manner to someone"
Yes,Atlanta,College of Sciences,,School of Applied Physiology,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Teaching classes",,Full waiver,,1,,15-20,"Yes, most weeks I spent way more than the 13 hours a week max we were supposed to have. ",No,,,,Regulate the amount of work TA's can have and if they go over they should receive additional compensation,7,Communication 
